favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1,Twitter Web Client,"Apresento aos senhores, o meu filho, Flávio Bolsonaro, candidato à Deputado estadual no RJ. http://youtu.be/amXpBLBWXvw",,False,Thu Jul 08 17:31:15 +0000 2010,4,18050756616
0,tvoto,Acabei de votar no @tvoto para Deputado Federal. Vote você também http://migre.me/XGrV #tvoto,,False,Fri Jul 16 19:14:27 +0000 2010,1,18709519797
1,tvoto,Acabei de votar no @tvoto para Deputado Estadual. Vote você também http://migre.me/XGrV #tvoto,,False,Fri Jul 16 19:17:10 +0000 2010,4,18709678447
1,Twitter Web Client,Bolsonaro estará hj à noite no Programa do Ratinho expondo o Projeto do Estatuto Penitenciário Nacional do PT. http://t.co/BcP8PA1L,,False,Thu Dec 13 16:40:59 +0000 2012,3,279264666725785601
0,Twitter Web Client,SIGAM @VerBolsonaro e @FlavioBolsonaro.,,False,Wed May 12 18:39:26 +0000 2010,5,13865589942
2,Facebook,"ENTENDA: Luana Piovani ofende gratuitamente o vereador Bolsonaro com frases desconexas e sem sentido, imaginemos... http://t.co/Jr9QJmGC16",,False,Thu Apr 04 22:10:57 +0000 2013,9,319935145438240769
2,Twitter Web Client,Somos radicalmente CONTRA A LIBERAÇÃO DAS DROGAS. Leiam artigo do @VerBolsonaro. http://bit.ly/d0swpC,,False,Mon May 17 17:05:04 +0000 2010,14,14172559271
5,Twitter Web Client,ASSUSTEM-SE PAIS: Vejam o conteúdo do kit-gay q já chegou nas escolas primárias do Brasil. http://t.co/hnywBCdE,,False,Mon Jul 23 23:00:04 +0000 2012,55,227538599225212928
147,Twitter Web Client,FÁBRICA DE RUMINANTES. Debate do Jornal ODIA d hj em q @VerBolsonaro fala sobre o Bolsa-Família. http://bit.ly/c6KG7g,,False,Fri Jun 11 15:48:10 +0000 2010,265,15937840018
1,Twitter Web Client,"@JornalExtra, via @BereniceSeara: Bolsonaro e Zé de Abreu Trocam Farpas no Twitter. D q lado vc fica? http://t.co/vjBhqapK",jornalextra,False,Wed Dec 19 23:02:40 +0000 2012,1,281535048237326337
